::1 - Tue Apr 09 2024 10:35:46 GMT+0530 (India Standard Time) - GET / HTTP/1.1 200 682 - 34 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36
::1 - Tue Apr 09 2024 10:35:47 GMT+0530 (India Standard Time) - GET /stylesheets/style.css HTTP/1.1 200 111 - 6 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36
::1 - Tue Apr 09 2024 10:35:47 GMT+0530 (India Standard Time) - GET /javascripts/html5shiv.min.js HTTP/1.1 200 - - 5 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36
::1 - Tue Apr 09 2024 10:35:47 GMT+0530 (India Standard Time) - GET /javascripts/html5shiv-printshiv.min.js HTTP/1.1 200 - - 9 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36
::1 - Tue Apr 09 2024 10:35:47 GMT+0530 (India Standard Time) - GET /javascripts/respond.min.js HTTP/1.1 200 - - 12 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36
::1 - Tue Apr 09 2024 10:35:47 GMT+0530 (India Standard Time) - GET /javascripts/respond.matchmedia.addListener.min.js HTTP/1.1 200 - - 6 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36
::1 - Tue Apr 09 2024 10:35:47 GMT+0530 (India Standard Time) - GET /ficon.ico HTTP/1.1 200 - - 1 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36
::1 - Tue Apr 09 2024 10:43:15 GMT+0530 (India Standard Time) - GET / HTTP/1.1 304 - - 27 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36
::1 - Tue Apr 09 2024 10:43:15 GMT+0530 (India Standard Time) - GET /stylesheets/style.css HTTP/1.1 304 - - 2 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36
::1 - Tue Apr 09 2024 10:43:15 GMT+0530 (India Standard Time) - GET /javascripts/html5shiv.min.js HTTP/1.1 304 - - 0 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36
::1 - Tue Apr 09 2024 10:43:15 GMT+0530 (India Standard Time) - GET /javascripts/respond.min.js HTTP/1.1 304 - - 5 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36
